slope,trainer,nblayers,batchcount,bestvalid,batchsize,esminslope,pcadim,dataset,validaucroctag,validprecat3,seed,timestring,testprecat3,validcost,fixedweights,jobman_experiment,espatience,currentlr,filtershapes,testaucrocclip,aggtype,jobman_sql_condorstderr,jobman_sql_hostworkdir,mlphidden,jobman_sql_condorslot,poolingtype,overlap,id,jobman_sql_condorstdout,valideverynbatch,jobman_runtime,bestbatch,lr,esminbatch,outputfolder,trainingepochs,norm,profile,jobman_sql_starttime,jobman_sql_condororigiwd,jobman_starttime,jobman_sql_priority,testsize,l1,status,lrinertia,agglen,trainsize,featuresh5,poolingfactors,validbatchsize,fullyconnected,randompatches,maxtime,fulldataset,jobman_status,jobman_endtime,nbfilters,weightsdir,esmeanover,testbatchsize,forcetrain,jobman_sql_hostname,testaucroctag,complexity,l2,jobman_hash,time,debug,model,caeid,jobman_sql_condorglobaljobid,classifier,meldim,validsize
2.97921075632e-06,FeatureClassifier,0,10251,0.846296719316,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.846296719316,0.46049382716,1234,2:34:11,,-10.7471428742,1,projects.dcrbm.train_fn.train,10,0.0457063801587,[],,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/0.err,/part/01/Tmp/condor_execute/dir_21508/tmpbEOPy2,1000,1,max,2,11,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/0.out,250,,10250,0.0457063798108,2500,.,0,mel_pca,0,1308572939.14,/data/lisa/exp/hamelphi,1308572939.35,1.0,-1,0.0,0,0.0,100,-1,features.h5,[],20,0,0,-1.0,0,0,,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/11,2500,18,0,zappa1.iro.umontreal.ca,,1333160,0.000585501347796,-646811737183407142,9251.61760592,0,aggregator,0,maggie46.iro.umontreal.ca#11103.0#1308548848,mlp,293,-1
7.31239299296e-07,FeatureClassifier,0,55251,0.875784865983,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.875784865983,0.491975308642,1234,5:42:09,,-10.0941217269,1,projects.dcrbm.train_fn.train,10,0.0202756598592,[],,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/3.err,/part/01/Tmp/condor_execute/dir_29704/tmpmvnTAA,1000,1,max,2,12,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/3.out,250,,55250,0.0202756596495,2500,.,0,mel_pca,0,1308572941.22,/data/lisa/exp/hamelphi,1308572941.37,1.0,-1,0.0,1,0.0,172,-1,/tmp/tmpdataheg6-Th5,[],20,0,0,-1.0,0,1,,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/12,2500,18,0,zappa2.iro.umontreal.ca,,1201160,2.49292575192e-08,2439747177907166012,20529.664454,0,aggregator,0,maggie46.iro.umontreal.ca#11103.3#1308548848,mlp,260,-1
1.61521404475e-06,FeatureClassifier,0,17001,0.841413052275,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.841413052275,0.447736625514,1234,4:55:39,,-10.8497782695,1,projects.dcrbm.train_fn.train,10,0.0158669650555,[],,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/6.err,/part/01/Tmp/condor_execute/dir_31817/tmpsXaelK,1000,1,max,2,13,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/6.out,250,,17000,0.0158669656415,2500,.,0,mel_pca,0,1308572957.13,/data/lisa/exp/hamelphi,1308572957.32,1.0,-1,0.0,0,0.0,104,-1,features.h5,[],20,0,0,-1.0,0,0,,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/13,2500,18,0,zappa7.iro.umontreal.ca,,1413160,3.01820588846e-07,2453755373255962704,17739.9508488,0,aggregator,0,maggie46.iro.umontreal.ca#11103.6#1308548848,mlp,313,-1
5.19215318189e-07,FeatureClassifier,0,28751,0.871735592696,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.871735592696,0.486419753086,1234,0:52:38,0.441007489484,-10.2150973626,1,projects.dcrbm.train_fn.train,10,0.168179497123,[],0.935006042886,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/7.err,/part/01/Tmp/condor_execute/dir_21058/tmpNponkW,1000,1,max,2,14,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/7.out,250,9059.39359689,28750,0.168179493453,2500,.,0,mel_pca,0,1308572960.9,/data/lisa/exp/hamelphi,1308572961.03,1.0,-1,0.0, ,0.0,122,-1,features.h5,[],20,0,0,-1.0,0,2,1308582020.43,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/14,2500,18,0,zappa3.iro.umontreal.ca,0.83675894545,585160,1.84782867199e-07,-3400576895822386690,3158.42458296,0,aggregator,0,maggie46.iro.umontreal.ca#11103.7#1308548848,mlp,106,-1
-1.49346421229e-06,FeatureClassifier,0,25001,0.864052599284,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.864052599284,0.462139917695,1234,5:03:25,,-10.6962740039,1,projects.dcrbm.train_fn.train,10,0.143293604255,[],,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/9.err,/part/01/Tmp/condor_execute/dir_1681/tmpaRkpJK,1000,1,max,2,15,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/9.out,250,,25000,0.14329360827,2500,.,0,mel_pca,0,1308572979.31,/data/lisa/exp/hamelphi,1308572979.46,1.0,-1,0.0,0,0.0,160,-1,features.h5,[],20,0,0,-1.0,0,0,,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/15,2500,18,0,zappa6.iro.umontreal.ca,,1253160,0.000318209716935,5049592901700440697,18205.0068371,0,aggregator,0,maggie46.iro.umontreal.ca#11103.9#1308548848,mlp,273,-1
8.69362135277e-08,FeatureClassifier,0,218251,0.851362238646,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.851362238646,0.471399176955,1234,3:03:23,0.429875859239,-10.4824553713,1,projects.dcrbm.train_fn.train,10,0.0109391156584,[],0.931755366395,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/14.err,/part/01/Tmp/condor_execute/dir_29574/tmptT8_Zw,1000,1,max,2,16,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/14.out,250,13427.5094481,218250,0.0109391155048,2500,.,0,mel_pca,0,1308572981.18,/data/lisa/exp/hamelphi,1308572981.33,1.0,-1,0.0, ,0.0,134,-1,features.h5,[],20,0,0,-1.0,0,2,1308586408.84,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/16,2500,18,0,zappa4.iro.umontreal.ca,0.823391074171,237160,1.46969031093e-05,-2283950008381935483,11003.906075,0,aggregator,0,maggie46.iro.umontreal.ca#11103.14#1308548848,mlp,19,-1
-1.70912501636e-07,FeatureClassifier,0,90001,0.871413850147,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.871413850147,0.48950617284,1234,3:46:47,0.442392531035,-10.187882494,1,projects.dcrbm.train_fn.train,10,0.017840474844,[],0.936174618348,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/1.err,/part/01/Tmp/condor_execute/dir_21737/tmpeX01yH,1000,2,max,2,17,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/1.out,250,23661.8788471,90000,0.0178404756763,2500,.,0,mel_pca,0,1308572986.25,/data/lisa/exp/hamelphi,1308572986.44,1.0,-1,0.0, ,0.0,142,-1,features.h5,[],20,0,0,-1.0,0,2,1308596648.32,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/17,2500,18,0,zappa1.iro.umontreal.ca,0.839940292766,685160,1.67897211787e-09,-434730484615871552,13607.3594301,0,aggregator,0,maggie46.iro.umontreal.ca#11103.1#1308548848,mlp,131,-1
,FeatureClassifier,0,501,0.694666279062,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.694666279062,0.3,1234,0:28:57,,-13.6283944095,1,projects.dcrbm.train_fn.train,10,0.179892852902,[],,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/4.err,/part/01/Tmp/condor_execute/dir_29939/tmpgZZf1F,1000,2,max,2,18,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/4.out,250,,500,0.179892850715,2500,.,0,mel_pca,0,1308572994.43,/data/lisa/exp/hamelphi,1308572994.57,1.0,-1,0.0,5,0.0,196,-1,features.h5,[],20,0,0,-1.0,0,5,,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/18,2500,18,0,zappa2.iro.umontreal.ca,,0,1.08443074793e-06,-3111332511056449172,1737.47189999,0,aggregator,0,maggie46.iro.umontreal.ca#11103.4#1308548848,mlp,487,-1
3.88912473239e-05,FeatureClassifier,0,3251,0.771041850209,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.771041850209,0.335390946502,1234,2:19:19,,-12.5398551329,1,projects.dcrbm.train_fn.train,10,0.0104934396222,[],,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/10.err,/part/01/Tmp/condor_execute/dir_32162/tmpV2QC1_,1000,2,max,2,19,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/10.out,250,,3250,0.0104934399016,2500,.,0,mel_pca,0,1308573007.52,/data/lisa/exp/hamelphi,1308573007.68,1.0,-1,0.0,5,0.0,160,-1,features.h5,[],20,0,0,-1.0,0,5,,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/19,2500,18,0,zappa7.iro.umontreal.ca,,0,6.25634619835e-05,-315871070556243879,8359.36143708,0,aggregator,0,maggie46.iro.umontreal.ca#11103.10#1308548848,mlp,440,-1
2.23586046643e-05,FeatureClassifier,0,3751,0.810604764429,10,0,-1,/Tmp/hamelphi/tagatune/tagatune_fullspecs.h5,0.810604764429,0.403909465021,1234,2:40:00,,-11.6843118668,1,projects.dcrbm.train_fn.train,10,0.0493915490806,[],,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/11.err,/part/01/Tmp/condor_execute/dir_21311/tmp89xmIj,1000,2,max,2,20,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_pmsc__data_gamme_exp_hamelphi_2011-06-20_01-45-42.531039/11.out,250,,3750,0.0493915504645,2500,.,0,mel_pca,0,1308573014.78,/data/lisa/exp/hamelphi,1308573014.92,1.0,-1,0.0,5,0.0,112,-1,features.h5,[],20,0,0,-1.0,0,5,,[],/data/gamme/exp/hamelphi/hamelphi_db/pmsc/20,2500,18,0,zappa3.iro.umontreal.ca,,0,0.000166032900008,2935875392708753990,9600.63468909,0,aggregator,0,maggie46.iro.umontreal.ca#11103.11#1308548848,mlp,450,-1
