slope,trainer,bestvalid,batchsize,esminslope,pcadim,dataset,time,validaucroctag,validprecat3,seed,timestring,testprecat3,validcost,weightsdir,savefeatures,fixedweights,espatience,currentlr,jobman_sql_condorstdout,testaucrocclip,aggtype,jobman_sql_condorstderr,jobman_sql_hostworkdir,mlphidden,testsize,testaucroctag,poolingtype,overlap,id,filtershapes,valideverynbatch,jobman_runtime,bestbatch,lr,esminbatch,outputfolder,trainingepochs,norm,jobman_endtime,jobman_sql_starttime,jobman_sql_condororigiwd,jobman_starttime,jobman_sql_priority,jobman_sql_condorslot,l1,lrinertia,agglen,trainsize,featuresh5,validbatchsize,fullyconnected,randompatches,maxtime,model,jobman_status,nblayers,nbfilters,jobman_experiment,validsize,esmeanover,testbatchsize,forcetrain,jobman_sql_hostname,poolingfactors,complexity,l2,jobman_hash,batchcount,debug,fulldataset,classifier,jobman_sql_condorglobaljobid
2.64069741071e-07,FeatureClassifier,0.872401581165,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,12811.5456491,0.872401581165,0.491975308642,1234,3:33:31,0.447317123217,-10.1368284579,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/638,,1,10,0.0120060835034,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/5.out,0.937363103559,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/5.err,/opt/condor-7.4.2/local.brams04/execute/dir_23840/tmpiMphMG,1000,-1,0.839406195263,max,2,638,[],250,13930.4576941,135500,0.012006083954,2500,.,0,pca,1304036480.2,1304022549.37,/data/lisa/exp/hamelphi,1304022549.74,1.0,5,0.0,0.0,102,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams04.iro.umontreal.ca,[],641160,6.5393258294e-07,9188448548223210243,135501,0,0,mlp,maggie46.iro.umontreal.ca#10510.5#1304022515
8.85258604934e-07,FeatureClassifier,0.876670880381,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,4160.51669097,0.876670880381,0.489094650206,1234,1:09:20,0.441315276495,-10.175532082,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/639,,1,10,0.0416612103581,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/1.out,0.935503552428,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/1.err,/opt/condor-7.4.2/local.brams0f/execute/dir_25209/tmpQV4zQI,1000,-1,0.841172697251,max,2,639,[],250,5336.20767808,49750,0.0416612108468,2500,.,0,pca,1304027886.5,1304022549.94,/data/lisa/exp/hamelphi,1304022550.3,1.0,6,0.0,0.0,188,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0f.iro.umontreal.ca,[],641160,3.38849848275e-07,-7212773700218915311,49751,0,0,mlp,maggie46.iro.umontreal.ca#10510.1#1304022515
-2.88090122258e-07,FeatureClassifier,0.87660330989,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,3669.688411,0.87660330989,0.487037037037,1234,1:01:09,0.442238637529,-10.0878195527,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/640,,1,10,0.0881628617644,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/8.out,0.935252563754,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/8.err,/opt/condor-7.4.2/local.brams04/execute/dir_23841/tmp240IYF,1000,-1,0.840810163173,max,2,640,[],250,5538.42728806,47000,0.0881628608394,2500,.,0,pca,1304028088.01,1304022549.21,/data/lisa/exp/hamelphi,1304022549.58,1.0,6,0.0,0.0,162,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams04.iro.umontreal.ca,[],641160,0.000598354842416,5325374259271214488,47001,0,0,mlp,maggie46.iro.umontreal.ca#10510.8#1304022515
-6.99210166986e-08,FeatureClassifier,0.877711286292,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,6074.67996693,0.877711286292,0.495267489712,1234,1:41:14,0.442289935365,-10.0242121014,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/641,,1,10,0.0399254001677,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/2.out,0.936149064658,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/2.err,/opt/condor-7.4.2/local.brams04/execute/dir_23838/tmpNrVLgR,1000,-1,0.840009646,max,2,641,[],250,7554.10564208,66500,0.0399253999578,2500,.,0,pca,1304030104.47,1304022549.96,/data/lisa/exp/hamelphi,1304022550.36,1.0,2,0.0,0.0,118,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams04.iro.umontreal.ca,[],641160,2.57831636988e-09,-2025286837644772229,66501,0,0,mlp,maggie46.iro.umontreal.ca#10510.2#1304022515
-9.94728819021e-08,FeatureClassifier,0.877436012753,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,4660.69233394,0.877436012753,0.492798353909,1234,1:17:40,0.438237406381,-10.1205534935,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/642,,1,10,0.0402295738459,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/3.out,0.93534878751,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/3.err,/opt/condor-7.4.2/local.brams04/execute/dir_23837/tmpj9xBO6,1000,-1,0.843609425126,max,2,642,[],250,10169.4294429,54250,0.0402295739703,2500,.,0,pca,1304032724.9,1304022555.03,/data/lisa/exp/hamelphi,1304022555.47,1.0,4,0.0,0.0,132,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams04.iro.umontreal.ca,[],641160,1.69221350702e-06,-8249582588587859407,54251,0,0,mlp,maggie46.iro.umontreal.ca#10510.3#1304022515
-2.73422518677e-07,FeatureClassifier,0.878795654264,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,2915.08859801,0.878795654264,0.491563786008,1234,0:48:35,0.440443213296,-10.0849894064,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/643,,1,10,0.0915618315339,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-05-04_15-45-24.787246/37.out,0.935318269938,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-05-04_15-45-24.787246/37.err,/opt/condor-7.4.2/local.brams05/execute/dir_23134/tmp7FCeCJ,1000,-1,0.841824162454,max,2,643,[],250,7134.79432392,44500,0.0915618348298,2500,.,0,pca,1304545856.22,1304538721.29,/data/lisa/exp/hamelphi,1304538721.42,1.0,3,0.0,0.0,180,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams05.iro.umontreal.ca,[],641160,1.25824436195e-06,3213357537617776580,44501,0,0,mlp,zappa8.iro.umontreal.ca#17731.37#1304538330
3.03113274421e-07,FeatureClassifier,0.874384176539,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,5461.07487988,0.874384176539,0.498353909465,1234,1:31:01,0.440956191649,-10.0973749279,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/644,,1,10,0.023788144812,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/0.out,0.934999218972,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/0.err,/opt/condor-7.4.2/local.brams0a/execute/dir_6480/tmpJ2WNM0,1000,-1,0.839800496152,max,2,644,[],250,7077.32235503,85000,0.0237881450337,2500,.,0,pca,1304029627.26,1304022549.53,/data/lisa/exp/hamelphi,1304022549.93,1.0,2,0.0,0.0,196,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0a.iro.umontreal.ca,[],641160,7.63002981973e-05,7735624678191970238,85001,0,0,mlp,maggie46.iro.umontreal.ca#10510.0#1304022515
4.9169490286e-07,FeatureClassifier,0.876220475811,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,3919.54081511,0.876220475811,0.498559670782,1234,1:05:19,0.44341848774,-10.1792150015,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/645,,1,10,0.0647597238421,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/6.out,0.935264304018,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/6.err,/opt/condor-7.4.2/local.brams06/execute/dir_8158/tmpImN0sW,1000,-1,0.839047755904,max,2,645,[],250,7884.51265097,59500,0.0647597211635,2500,.,0,pca,1304030433.65,1304022548.74,/data/lisa/exp/hamelphi,1304022549.13,1.0,1,0.0,0.0,186,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams06.iro.umontreal.ca,[],641160,9.70102534432e-06,-646951319474591817,59501,0,0,mlp,maggie46.iro.umontreal.ca#10510.6#1304022515
-9.50979899578e-08,FeatureClassifier,0.843615973536,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,2509.92084813,0.843615973536,0.465020576132,1234,0:41:49,0.396993946855,-10.751343056,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/667,,1,10,0.0918529555202,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-05-04_15-45-24.787246/3.out,0.918515485178,mean,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-05-04_15-45-24.787246/3.err,/tmp/tmpKdWbSL,1000,-1,0.793734434647,max,2,667,[],250,9949.07412004,62250,0.0918529567578,2500,.,0,pca,1304540605.26,1304530656.03,/data/lisa/exp/hamelphi,1304530656.19,1.0,3,0.0,0.0,148,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,maggie46.iro.umontreal.ca,[],281160,0.000214975636105,4348425217718279904,62251,0,0,mlp,zappa8.iro.umontreal.ca#17731.3#1304538330
8.41603381063e-08,FeatureClassifier,0.840433575306,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,7128.25170493,0.840433575306,0.467695473251,1234,1:58:48,0.398430286242,-10.8049670325,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/668,,1,10,0.030171180144,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-05-04_15-45-24.787246/5.out,0.91850724595,mean,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-05-04_15-45-24.787246/5.err,/opt/condor-7.4.2/local.brams0b/execute/dir_916/tmpyYOsai,1000,-1,0.789733039703,max,2,668,[],250,8245.56009912,195000,0.0301711806733,2500,.,0,pca,1304546667.01,1304538421.33,/data/lisa/exp/hamelphi,1304538421.45,1.0,4,0.0,0.0,176,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0b.iro.umontreal.ca,[],281160,5.11144039413e-09,-2576851492439284878,195001,0,0,mlp,zappa8.iro.umontreal.ca#17731.5#1304538330
